BK-2011-38,http://hdl.handle.net/10934/RM0001.COLLECT.506083,Behangselschildering met een Hollands landschap met rivier,schilderij,"Andriessen, Jurriaan",1776,https://lh6.ggpht.com/atPdLx1MEE2to5Lo95ggKIKGnf-LGEXNItP_nLbDiEZSTxKFsbmRJB6vzYSsAORQSbi4n2voaQP9N1z9WvfUUQL_new=s0
BK-2011-39,http://hdl.handle.net/10934/RM0001.COLLECT.506098,Behangselschildering van een Hollands landschap met een zandweg,schilderij,"Andriessen, Jurriaan",1776,https://lh4.ggpht.com/zVe_ydA4NV_SxNAFWnuMX7kX-zEJPpZH-cZxvCq8YpmJvA0RDIHFppDbdYBJv9h5TZxUFOGejzQ72bD8bXCbur7dFu0=s0
BK-2011-40,http://hdl.handle.net/10934/RM0001.COLLECT.506099,Behangselschildering,schilderij,"Andriessen, Jurriaan",1776,https://lh3.googleusercontent.com/qwgQbyU9BiUjuaKovZKN08DHvgq99P86Pdb6-w7X86lh3sR_6shGsFGxiFojiAW5pDDTpvFihYcAx77BXSoPG7AdjeWP=s0
BK-2011-41,http://hdl.handle.net/10934/RM0001.COLLECT.506101,Behangselschildering van een Hollands landschap met een buitenplaats,schilderij,"Andriessen, Jurriaan",1776,https://lh3.googleusercontent.com/kC88iCgdrtWxAkChejZajrfPBVfe0Yo3AsFkgGHdpxj5f8WDutQBJdALyCKF9DIh5a7qEa4AkuZ8FNrN8TmYmiY-9Q=s0
BK-2011-42,http://hdl.handle.net/10934/RM0001.COLLECT.506104,Behangselschildering van een Hollands landschap met openstaande brug,schilderij,"Andriessen, Jurriaan",1776,https://lh3.googleusercontent.com/c-k-h3TguAwbifW_sDa0Yf7jqozUts91QWrEN1OqL9RNaTBMTyUK_ckE-wa4ThRUO39Fk0mQU61iNmlX_9JxuE44FQc=s0
BK-C-2007-1-A,http://hdl.handle.net/10934/RM0001.COLLECT.441629,De doop van de kamerling,schilderij,"Wit, Jacob de",1748,https://lh3.googleusercontent.com/bI5dqTL3VhK1skYw2p-VzK9ai7LBt8VdxahFIxIM03s7l9pq3SF86_nY6umDr_P7DM5ZAmSoRflBNlfTrIsWAsDzAw=s0
BK-C-2007-1-B,http://hdl.handle.net/10934/RM0001.COLLECT.441630,Dessus-de-porte met een voorstelling van twee liggende vrouwen met guirlandes,schilderij,"Andriessen, Jurriaan",1786,https://lh3.googleusercontent.com/R4SY1zNeG4YlNApBeaxY1tmNULaDWgYHKCJIi2KDjtHBe3MdUQ-ueoGlE3_2GU0mf07nhpYay2jJmX19fbUg6F_zoJjr=s0
BK-NM-1010-241,http://hdl.handle.net/10934/RM0001.collect.322717,Farao's dochter vindt Mozes,schilderij,"Voorhout, Johannes (I)",1690,https://lh3.ggpht.com/9o4WIIuT7KKPP9UdIW4U_SnNSUdZqarBPtuTogx8YOW_g6lH_XoAqmDE5zD0iXzAPRmqbpl4rNqUkGUEptrK1rIWXw4=s0
BK-NM-1010-242,http://hdl.handle.net/10934/RM0001.collect.322718,Christus zegent de kinderen,schilderij,"Voorhout, Johannes (I)",1690,https://lh6.ggpht.com/WF65Fwrj_YKPRvoGybj75a4FmoAm2a4vPMevzPgr87p7YN8I1RDt5YglnNsoEQBg4EeiHNXKyiEZeacuAZtt9TxPHtA=s0
BK-NM-1010-245,http://hdl.handle.net/10934/RM0001.collect.322722,Aurora,schilderij,"Voorhout, Johannes (I)",1690,https://lh3.ggpht.com/1LYEBRUmpP4Eb8rTPHPzdp3tT5_k1-4vTOnSdbZ56RrCiclkHRVTDvRmh1ImAtx7xRxa9cn5324a-2p2wMT5b0_U9UY=s0
